School, Expenses
Kentucky, 19731734
Louisville, 19029267
Alabama, 15966875
UCLA, 15468379
Tennessee, 13821147
Virginia, 13764636
Indiana, 13366254
TexasTech, 12607305
Kansas, 12576038
OhioState, 12426575
FloridaState, 12349840
OleMiss, 11836841
TexasAM, 11818857
Texas, 11449423
NorthCarolina, 11307115
WestVirginia, 11152978
Arizona, 10771475
Auburn, 10536654
Illinois, 10480942
Arkansas, 10440326
Oregon, 10348630
NCState, 10179740
Oklahoma, 10062964
Memphis, 9908631
Connecticut, 9892764
Michigan, 9874360
Florida, 9717387
VirginiaTech, 9692567
Purdue, 9604624
LSU, 9512515
Nebraska, 9387456
Washington, 9224123
Houston, 9219797
Utah, 9214550
Maryland, 9163793
Minnesota, 9119638
ArizonaState, 8894051
KansasState, 8889669
Wisconsin, 8572032
SouthCarolina, 8561964
Iowa, 8439677
Missouri, 8255259
Clemson, 8245384
Georgia, 7756002
IowaState, 7715509
Rutgers, 7666729
Cincinnati, 7653810
MississippiState, 7443130
GeorgiaTech, 7325493
Colorado, 7252985
PennState, 7169603
OklahomaState, 6700510
California, 6327940
UNLV, 6224313
SanDiegoState, 5813024
OregonState, 5801839
WashingtonState, 5483898
UCF, 5109134
SouthFlorida, 4926468
Nevada, 4706010
ColoradoState, 4420219
UtahState, 4408239
NewMexico, 4229611
UTEP, 4172166
EastCarolina, 4064868
Massachusetts, 4025395
OldDominion, 3953002
Buffalo, 3796708
BoiseState, 3749946
Ohio, 3643824
FresnoState, 3642878
WesternKentucky, 3622159
UAB, 3533943
Charlotte, 3479606
Wyoming, 3329649
MiddleTennessee, 3229351
Marshall, 3169061
NewMexicoState, 3123863
Akron, 3054013
GeorgiaState, 2946565
NorthTexas, 2847661
LouisianaLafayette, 2828563
CoastalCarolina, 2765347
Toledo, 2694919
AirForce, 2673055
BowlingGreen, 2539991
LouisianaTech, 2513651
ArkansasState, 2336742
UTSA, 2312004
CentralMichigan, 2256795
WesternMichigan, 2243842
MiamiOhio, 2233224
SouthernMississippi, 2217615
EasternMichigan, 2170870
KentState, 2163408
SouthAlabama, 2120082
FAU, 2110732
TexasState, 2031638
FIU, 2029045
AppState, 2008818
BallState, 1980743
NorthernIllinois, 1893803
LouisianaMonroe, 1672050
GeorgiaSouthern, 1646554
Total, 713846851
Average, 6863912
