School, SupportStaffAdministrativeCompensationBenefitsandBonusespaidbytheUniversityandRelatedEntities
Kentucky, 1279746
Virginia, 1095629
Indiana, 1035221
TexasTech, 950059
Illinois, 913749
NorthCarolina, 855831
Louisville, 850914
Washington, 825353
Missouri, 791074
MichiganState, 763787
Texas, 761502
Utah, 757456
Clemson, 747078
Kansas, 721562
SanDiegoState, 718775
VirginiaTech, 712653
NCState, 712585
IowaState, 705999
OhioState, 660847
Arkansas, 631466
TexasAM, 619239
UNLV, 607449
OleMiss, 581830
Tennessee, 571727
PennState, 565755
SouthCarolina, 557467
Oklahoma, 547069
Houston, 530662
LSU, 518736
Auburn, 518493
Rutgers, 493968
Connecticut, 488757
Georgia, 477076
Iowa, 473731
Alabama, 473447
Florida, 467279
Colorado, 464437
Michigan, 454636
WestVirginia, 441514
KansasState, 426989
Minnesota, 425357
Purdue, 425057
Oregon, 421371
ArizonaState, 409143
Wisconsin, 401817
California, 397720
OklahomaState, 373120
Nebraska, 367529
Memphis, 363206
UCLA, 351849
Maryland, 333964
Arizona, 333115
NewMexico, 328953
Nevada, 309910
Cincinnati, 303031
SouthFlorida, 294110
MississippiState, 290257
WashingtonState, 285918
UAB, 269236
GeorgiaTech, 268859
OldDominion, 254079
UTEP, 253732
FloridaState, 251423
OregonState, 249251
Massachusetts, 236270
ColoradoState, 226771
Charlotte, 224935
EastCarolina, 223952
Wyoming, 221042
UCF, 213642
Ohio, 206315
WesternKentucky, 198616
SouthernMississippi, 184509
LouisianaLafayette, 169185
LouisianaTech, 165449
Marshall, 159489
FresnoState, 135664
GeorgiaState, 133511
AirForce, 127935
TexasState, 124613
Akron, 124150
FAU, 123557
BoiseState, 122972
EasternMichigan, 119766
CoastalCarolina, 116915
FIU, 113867
NorthTexas, 112838
NewMexicoState, 111536
UTSA, 103749
BowlingGreen, 94829
CentralMichigan, 83943
BallState, 79955
WesternMichigan, 79424
AppState, 79246
MiddleTennessee, 77479
Toledo, 72130
UtahState, 71290
NorthernIllinois, 67786
SanJoseState, 64750
ArkansasState, 64222
LouisianaMonroe, 62083
SouthAlabama, 38009
GeorgiaSouthern, 14990
Buffalo, 0
MiamiOhio, 0
KentState, 0
Total, 39684938
Average, 374386
