School, AthleticFacilitiesDebtServiceLeasesandRentalFee
Louisville, 2792888
OleMiss, 2412410
Kentucky, 1677722
NCState, 801344
PennState, 788083
MichiganState, 742449
Troy, 634796
Tennessee, 485955
FloridaState, 466803
ArizonaState, 425864
Nebraska, 417353
Florida, 329268
VirginiaTech, 279935
TexasTech, 268843
Memphis, 260986
UTEP, 233342
BoiseState, 213710
UtahState, 199311
UCF, 187305
Arkansas, 185625
SanDiegoState, 159347
GeorgiaState, 144054
NewMexicoState, 80000
SouthAlabama, 46075
LouisianaLafayette, 28393
OregonState, 17893
WestVirginia, 7683
Wisconsin, 4317
SanJoseState, 3150
EastCarolina, 2796
Massachusetts, 2637
OhioState, 700
Rutgers, 600
UCLA, 0
Houston, 0
Clemson, 0
Nevada, 0
FresnoState, 0
Wyoming, 0
Buffalo, 0
Utah, 0
SouthFlorida, 0
Iowa, 0
MississippiState, 0
UTSA, 0
Michigan, 0
Minnesota, 0
GeorgiaSouthern, 0
Marshall, 0
MiamiOhio, 0
Kansas, 0
ColoradoState, 0
Purdue, 0
OldDominion, 0
Akron, 0
Maryland, 0
UNLV, 0
FIU, 0
MiddleTennessee, 0
NorthCarolina, 0
Indiana, 0
OklahomaState, 0
TexasState, 0
California, 0
SouthCarolina, 0
AppState, 0
NewMexico, 0
Auburn, 0
Texas, 0
BallState, 0
FAU, 0
WashingtonState, 0
LouisianaMonroe, 0
NorthTexas, 0
Oregon, 0
BowlingGreen, 0
GeorgiaTech, 0
Colorado, 0
Missouri, 0
Oklahoma, 0
CentralMichigan, 0
WesternMichigan, 0
IowaState, 0
Toledo, 0
LSU, 0
Charlotte, 0
SouthernMississippi, 0
EasternMichigan, 0
Illinois, 0
Arizona, 0
KentState, 0
CoastalCarolina, 0
Total, 14301637
Average, 155452
