School, SportsEquipmentUniformsandSupplies
Rutgers, 381070
Auburn, 328659
Kentucky, 321609
Illinois, 317359
NorthCarolina, 315134
Oklahoma, 279922
MichiganState, 274946
Memphis, 272086
OleMiss, 269660
MississippiState, 244009
Nebraska, 239771
Indiana, 234124
GeorgiaTech, 226257
Missouri, 225158
Oregon, 221274
ArizonaState, 219535
Arkansas, 212400
UNLV, 209427
IowaState, 209162
California, 194334
Texas, 194258
OhioState, 186719
Nevada, 179155
Purdue, 179024
NCState, 178760
Maryland, 178063
Clemson, 176571
FloridaState, 165447
Houston, 162763
ColoradoState, 162267
Utah, 156587
UCLA, 151953
Florida, 147223
Tennessee, 145924
WestVirginia, 143118
Michigan, 142172
LSU, 141405
TexasTech, 137006
SouthAlabama, 133153
OklahomaState, 132497
Wyoming, 130542
SouthFlorida, 128794
OldDominion, 126299
UtahState, 125387
Iowa, 122476
Minnesota, 119872
SanDiegoState, 119669
Wisconsin, 119137
VirginiaTech, 115276
SouthCarolina, 108074
WashingtonState, 99289
UCF, 94011
Colorado, 93831
PennState, 89510
Arizona, 87137
FresnoState, 87092
EastCarolina, 85224
Charlotte, 83471
Toledo, 79419
BowlingGreen, 76258
UTEP, 75787
FAU, 69013
Marshall, 68622
GeorgiaState, 66208
Troy, 64314
NorthTexas, 61005
FIU, 61003
Akron, 59561
OregonState, 57307
LouisianaLafayette, 56860
Kansas, 56853
UTSA, 56748
CentralMichigan, 50616
EasternMichigan, 48569
AppState, 48364
Louisville, 47783
MiamiOhio, 46714
CoastalCarolina, 44474
Buffalo, 43896
TexasState, 41462
KentState, 39852
GeorgiaSouthern, 39212
SouthernMississippi, 35435
MiddleTennessee, 34932
LouisianaMonroe, 31813
WesternMichigan, 28296
Massachusetts, 25318
NewMexicoState, 24434
SanJoseState, 23426
NewMexico, 23300
BallState, 21992
BoiseState, 15759
Total, 11949657
Average, 129887
