School, AthleticStudentAid
Michigan, 963300
Maryland, 920432
NorthCarolina, 879422
Auburn, 846876
Clemson, 823581
Oklahoma, 810565
Tennessee, 803721
WashingtonState, 769175
SouthCarolina, 759932
GeorgiaTech, 739039
PennState, 737716
VirginiaTech, 725868
Massachusetts, 697395
Oregon, 697094
UCLA, 693793
Colorado, 693354
Kansas, 692750
Arizona, 688441
Rutgers, 686017
LSU, 681924
Minnesota, 672703
MichiganState, 669103
ArizonaState, 654681
Louisville, 653176
Nebraska, 653033
OhioState, 643475
Missouri, 630846
OldDominion, 624329
Purdue, 610065
Wisconsin, 608380
MississippiState, 606833
UNLV, 605765
OleMiss, 589285
Kentucky, 579027
ColoradoState, 577242
NCState, 572362
Utah, 570688
BoiseState, 564709
Buffalo, 561354
CoastalCarolina, 557926
FloridaState, 557060
Illinois, 548285
Florida, 540803
California, 538745
IowaState, 538278
NewMexico, 531365
Texas, 529498
OregonState, 528260
GeorgiaState, 525313
UtahState, 522811
MiddleTennessee, 522175
NewMexicoState, 516136
MiamiOhio, 513500
Indiana, 513375
EastCarolina, 502631
Houston, 500673
Charlotte, 498819
Iowa, 493430
Toledo, 488643
Arkansas, 484474
SouthFlorida, 471798
Nevada, 462022
TexasState, 461022
WestVirginia, 455744
SanJoseState, 452493
Wyoming, 452283
UTSA, 451630
Memphis, 445586
Marshall, 445167
UCF, 442604
GeorgiaSouthern, 439049
EasternMichigan, 432578
Akron, 432479
AppState, 432184
LouisianaLafayette, 429887
TexasTech, 427092
SouthAlabama, 423211
SanDiegoState, 417374
UTEP, 411506
WesternMichigan, 399544
BallState, 396317
OklahomaState, 392978
Troy, 383995
FresnoState, 361412
KentState, 360456
NorthTexas, 359964
BowlingGreen, 359872
SouthernMississippi, 347758
FIU, 347459
CentralMichigan, 292214
LouisianaMonroe, 262148
FAU, 144305
Total, 50703782
Average, 551128
